problem,solution,category
I + I,2,addition
II + II,4,addition
III + III,6,addition
IV + IV,8,addition
V + V,10,addition
VI + VI,12,addition
VII + VII,14,addition
VIII + VIII,16,addition
IX + IX,18,addition
X + X,20,addition
I + II,3,addition
II + III,5,addition
III + IV,7,addition
IV + V,9,addition
V + VI,11,addition
VI + VII,13,addition
VII + VIII,15,addition
VIII + IX,17,addition
IX + X,19,addition
X + XI,21,addition
II - I,1,subtraction
III - I,2,subtraction
IV - II,2,subtraction
V - II,3,subtraction
VI - III,3,subtraction
VII - III,4,subtraction
VIII - IV,4,subtraction
IX - IV,5,subtraction
X - V,5,subtraction
XII - VI,6,subtraction
III - II,1,subtraction
IV - III,1,subtraction
V - III,2,subtraction
VI - IV,2,subtraction
VII - IV,3,subtraction
VIII - V,3,subtraction
IX - V,4,subtraction
X - VI,4,subtraction
XI - VI,5,subtraction
XII - VII,5,subtraction
II * II,4,multiplication
III * II,6,multiplication
IV * II,8,multiplication
V * II,10,multiplication
VI * II,12,multiplication
VII * II,14,multiplication
VIII * II,16,multiplication
IX * II,18,multiplication
X * II,20,multiplication
XII * II,24,multiplication
II * III,6,multiplication
III * III,9,multiplication
IV * III,12,multiplication
V * III,15,multiplication
VI * III,18,multiplication
VII * III,21,multiplication
VIII * III,24,multiplication
IX * III,27,multiplication
X * III,30,multiplication
XII * III,36,multiplication
IV / II,2,division
VI / II,3,division
VIII / II,4,division
X / II,5,division
XII / II,6,division
XIV / II,7,division
XVI / II,8,division
XVIII / II,9,division
XX / II,10,division
XXIV / II,12,division
VI / III,2,division
IX / III,3,division
XII / III,4,division
XV / III,5,division
XVIII / III,6,division
XXI / III,7,division
XXIV / III,8,division
XXVII / III,9,division
XXX / III,10,division
XXXVI / III,12,division 